locality,country,stateprovince,county,uuid
"c1b, portage",united states,utah,box elder county,17ed7c9a-3fc5-4258-8d9a-35480d998a27
philmont scout ranch-urraca mesa,united states,new mexico,colfax county,25b1b39c-2e73-494f-b9cd-cf2736e7a1cf
"raft river mts, one mile canyon",united states,utah,box elder county,2f0ab7ce-f1b4-4178-9385-222e50558573
unit 37a; stinking creek,united states,idaho,,318ee504-d968-482c-a925-ca63ecba08b1
"angol, chanleo",chile,la araucania,malleco,56ea0e3d-65d2-4067-8f9f-4bec568ad737
no specific locality,united states,colorado,,2da7830f-b91f-45a9-89ec-06accaca9845
"coal gulch, tributary of big salt wash",united states,colorado,mesa county,2fe27c4d-effa-4325-9823-5d38155cf863
bon jon pass; t28n r3w,united states,washington,clallam county,022f5815-5815-41bb-984f-223fbe582a5c
san jose,united states,california,santa clara co.,08f17061-844d-4475-9ae0-cf80fb9b9814
quininde,ecuador,manabí,,4bb499d8-f425-4547-8d31-1c511b65804f
junction of corbin creek and south fork of eel river,united states,california,mendocino co.,97419f2f-e6e2-4b86-aca0-661138749248
,united states,california,santa clara,704b0632-7f35-4eae-9c8e-3f04e4116b54
40 mi n van horn,united states,texas,culberson,96dcf731-2cb6-4691-afb8-c98240e046f9
"big cypress national preserve; at the crossover, l-28",united states,florida,dade,410b8137-68c8-4053-8462-3f14d4bf043c
20 km wsw ft davis,united states,texas,jeff davis,a4d9574e-c39c-4f8b-bed5-3a44fedeb084
"andes mountains, e base",argentina,santa cruz,,539cd3f5-fb0b-4ba2-b554-128389772d5f
"engle, 35 mi e, san andres mounts",united states,new mexico,socorro county,8c5be699-10a9-4ad5-b9e2-57e06a133d72
"near steel bridge, clearwater area (gmu 615)",united states,washington,jefferson,cba78a36-e4f5-442f-8b78-0d59285acaa3
"denver, denver zoo",united states,colorado,denver county,f700322a-f447-4238-9b0e-95030a6b736f
"larch mountain, near head of porter creek",united states,washington,thurston county,f4088d33-c1fe-4f15-9d10-af172f8db899
"animas mountains, near animas, bear canyon",united states,new mexico,hidalgo county,521dcf1b-c062-4558-9443-cd239091ead0
white river,united states,arizona,navajo,bb7a60ab-0c0e-4b9b-9e9d-6a9e0b7243c7
eagle mountains,united states,texas,hudspeth county,3b6ea11a-c346-4f2a-a870-c2635997b806
chupadera ranch,united states,texas,webb county,7c074744-69a7-4872-89fe-cc4ec5be75ff
texas mountain,united states,colorado,rio blanco county,50e14a3e-3c94-4644-b53f-1df911465309
coal creek,united states,washington,jefferson county,d4fff251-bf77-4c94-af58-bb9ec291e0fb
galvin ranch,united states,texas,webb county,8b6b904f-3f2e-4df2-a234-13df2cebbf9b
"panguitch, 10 mi e",united states,utah,garfield county,1c683a9c-87ad-4bb3-b11b-df7045e27291
"eagle mts., 25 mi se of sierra blanca",united states,texas,hudspeth county,a5764a70-e882-4d35-9985-b834121c4d7e
"parque nacional yasuni, 104 km s of pompeya sur",ecuador,napo,,9c833907-80c2-4717-9ceb-e1c8f79e2320
baird,united states,california,shasta county,84f9191e-368d-4bd4-a72c-acb93c81b5dd
skates mountain district,united states,washington,lewis county,306db3a8-bb4a-4b29-bafe-6ab4e277605d
"hillsborough, 25 mi sw",united states,new mexico,,84e79afa-a250-4f68-9abe-464aa590b9ea
"dilley, 15 mi ne",united states,texas,frio county,89345ae7-ed20-48a9-9759-94a9e56a180f
"imnaha river, upper",united states,oregon,wallowa county,5d14718d-2d31-4bc8-8a76-46232a5e7dc9
"animas mountains, skelton canyon",united states,new mexico,hidalgo county,3f75a3ea-f01d-4cbc-91b8-2ff27851d302
,united states,texas,zapata,c6e09c4d-ee48-4eb5-8bdc-5b4d49b8d84c
"animas, 30 mi s",united states,new mexico,hidalgo county,a1c45472-8776-4215-bf0f-aa9a0b37514c
"cr 951, 2.4 km south of us 41",united states,florida,collier,b4365512-d818-4f5c-944a-21feebb0f219
"redvale, w of",united states,colorado,montrose county,5b734af9-e446-49ae-9104-7e456abce415
animas mountains,united states,new mexico,hidalgo county,f75a4014-decd-407c-b9db-bfa9af4b50f8
chupadera ranch,united states,texas,webb county,3cb3470f-fae7-4de5-b6f2-e79497f52fd9
princeton,canada,british columbia,,3c3ed256-a42d-4f09-bfda-d8dc28a8f491
gibson's landing,canada,british columbia,,d9aa2c53-4751-42be-bb14-86c936161b59
elwha river; hwy 101; t30n r7w sec 28,united states,washington,clallam county,7fa079e4-5a95-4cf4-8e21-9f28fc592de9
west greenwich,united states,rhode island,kent,be4f9cc3-d414-4eb7-bcef-b1328b61c3c6
"kangley; 1.5 mi s, 0.5 mi w; t21n r7e sec 3",united states,washington,king county,e3293acf-eaaf-42f4-a330-1d95d40da5e6
unit 28; deadwater,united states,idaho,,7bf48204-e334-4013-b042-bbcc71ff1987
raft river,united states,utah,box elder county,109508c5-66d5-4976-8b53-62dca5b91286
unit 30a; hawley creek,united states,idaho,,f1d5027e-5e9c-4af1-810e-477e8375ec78
unit 28; wallace creek,united states,idaho,,fa2508c1-673f-4203-af89-3f6a2f05a320
unit 30; geertson creek,united states,idaho,,1d76020a-bdb4-4398-8f23-f74064724781
"big hatchet mountian, south sheridan canyon",united states,new mexico,hidalgo county,2398ebe6-6f64-4e39-8211-e90c5a4f0f89
s of hatchita,united states,new mexico,grant county,3765ab00-dc14-4ff8-a1d5-60d7ca575b78
"unit 70, mink creek",united states,idaho,bannock county,06b5f5f5-1a58-4c3f-9f04-b48bfae3853e
possibly guadalupe mtns,united states,new mexico,eddy county,099e4996-09a3-4d8d-8749-48a74cbe2e6a
"rio tapajos, santarem",brazil,para,,501ffe3e-5ad8-4605-b32e-fd0496ab9eb6
"unit 28, wallace",united states,idaho,power county,962c80ed-ffcf-432a-a0c2-de4ddf9371f8
"unit 73a, rudeeen ranch",united states,idaho,power county,9dc0ae7b-b6ca-4924-b390-1a7e1a98c03d
unit 21; colson creek,united states,idaho,,a08bac7b-fb8b-4c5a-8aa2-65a855da14af
unit 21a; little sheep creek,united states,idaho,,a8487ec4-1b67-453d-891c-43fcd53f0bc3
"unit 76, georgetown canyon",united states,idaho,power county,83f31f4f-f0e9-49dc-b3a5-7c69584f65ac
unit 28; camas creek,united states,idaho,,8a0e83a9-10a9-4fd8-8399-6a7601d51440
"unit 36b, w fork morgan creeck",united states,idaho,power county,6e896033-a23d-485c-a1e5-faef2f6ea1b3
oscura mtns.,united states,new mexico,,cabc54e7-2300-4b88-bdb3-c3d03f46b7f9
possibly guadalupe mtns,united states,new mexico,eddy county,5a91102c-1365-45be-9eb0-88e1ac09d5b6
jim sage mts,united states,idaho,cassia county,5de975a2-4b08-4bae-9eed-bd9b7a682c8a
"twin tanks cnayon, sirerra ladrones",united states,new mexico,socorro county,423531d0-2eeb-44ea-bdfa-6ed0fb7a3537
possibly guadalupe mtns,united states,new mexico,eddy county,490b3062-fc48-445c-842f-cfdfb2cc85d8
"unit 74, cottonwood creek",united states,idaho,power county,2abb64ce-ef8f-485d-b80c-4fa61a6b96c4
"grouse creek, pine creek",united states,utah,box elder county,2e2ab618-0cf9-4a84-ad1b-992ec62fa8bc
unit 28; williams creek,united states,idaho,,2ed37c4b-0ed7-4ba2-a823-d595bc668b33
hansel valley,united states,utah,box elder county,33c1e43c-d90e-4f4f-b611-90be88801fbd
jim sage mts,united states,idaho,cassia county,364c97e1-185a-4c38-ab98-f1580dffc5e6
san andres mtns.,united states,new mexico,,3a097e77-d7f7-4a80-940e-838a1b6badc8
"angol, vegas blancas",chile,la araucania,malleco,b5bb468f-47e3-41d0-8343-c9920b7469c4
,united states,california,trinity,e748cfb6-621f-4b39-8dc9-d0127ffd8a19
"hot springs, 35 mi w, todder ranch",united states,new mexico,,62e0261b-6664-4c72-84b0-8b6af16be092
hermosa,united states,new mexico,,95d963aa-105b-47ed-9b6a-547b80ce73aa
"gila national forest, sapillo, g.o.s. ranch",united states,new mexico,,95492bb8-9b4b-4632-8564-2f612d1f815f
km 620,paraguay,boquerón,,c6b95bc3-2273-487b-a840-7a5932b34267
loma plata; estancia laguna pora de la colonia fernheim,paraguay,presidente hayes,,66b87daa-737f-427d-9e72-bde060a6b188
meeker,united states,colorado,,3e6eb45f-9e57-4da2-95e2-bb1f39237444
"0.5 miles w of powerline, cr 846, 8 miles e of immokalee",united states,florida,hendry,e9b0fa13-cf8e-4b9e-b1d3-df8ea62a7e9a
"grants pass, 43 mi ne",united states,oregon,,e2c706e6-46ed-44ac-b316-919300ffd476
"gila national forest, sapillo, g.o.s. ranch",united states,new mexico,,8406bb65-cc24-4f91-91f7-04bd5e812b32
"marysvale, se",united states,utah,,c3a295cc-e18f-4eb7-bde1-cfb2631610a6
,united states,colorado,san miguel county,39aca8c3-b0e3-49bb-9eb2-896ddd416d7d
,,,,a67fd67b-e6dd-4950-9e40-6c4adb0aa165
"selma, 40 mi w, bald mountain",united states,oregon,,1e0976ee-5307-4486-8ddb-d2bd8f14b3aa
comstock,united states,texas,,d2097f19-1e33-4e58-a87c-371212612798
clifton,united states,arizona,,db4769af-170f-4aba-898d-86e3dcbe571e
animas mountains,united states,new mexico,,4dbf72dc-838f-4cc8-ab41-f8f3ce72202d
"meeker, texas creek",united states,colorado,,7fe98039-472f-4258-ae85-27e0318b7ffa
richfield,united states,utah,,0288e3db-0270-4d47-b23d-4243cede467d
,,,,f3b7c367-1909-4d5c-9a2f-6ce3d2b729ba
grants pass,united states,oregon,,0f6ecd8a-8957-4796-9d5d-50627732f679
"rio cesar, opposite el orinoco",colombia,cesar,valledupar district,dbf1d25b-48c3-4111-a062-608352e46dcb
socorro,united states,new mexico,,d24d452d-c7e8-4c38-8774-e310afeedebc
"charco del toro, rio maje",panama,panama,,5182ec6e-1611-49a5-bf74-6be5667bcadd
boquillas,united states,texas,,0ab191f3-3aa2-47cb-b639-97da0de56f0c
,united states,california,humboldt,e8796ae6-6597-46b6-bd98-5ea054f648fd
"1 mile w of 858, county line rd, 2 mile n of prison",united states,florida,hendry,066c22f4-93d7-4c89-ac3a-8691f2bf110a
monticello,united states,new mexico,,ee0b16f4-8e69-407d-92af-93633d6192c0
cibecue,united states,arizona,,3d12835d-ed30-4aea-a381-1c59d6b0589f
bitter root national forest,united states,idaho,,2eb9c14d-390a-4426-be97-35a8349ad204
"dilley, 12 mi e",united states,texas,,07b265de-9f22-4d0f-a48d-260dad673e9b
"upper gila river valley, gila national forest",united states,new mexico,,e146f9e1-8fe9-4451-bb73-508b0ba96738
yellowstone national park,united states,wyoming,,9991a452-1013-4012-8835-d829fa483852
"safford, 12 mi sw, rincon canyon",united states,arizona,,fcd59dff-19ba-48dd-8963-1d109494612c
"alma, 15 mi n",united states,new mexico,,867b5c07-db0a-4ea7-b044-c7f741ccd751
"the alamasus creek, headwater, range 9 w, twp 3n, sec. 17 n of n boundary, s division, cibola national forest, socorro creek",united states,new mexico,,0e780e5b-8328-4719-baa8-c26b8e505198
graham mountains,united states,arizona,,1a0005cd-46c0-46cc-a82a-2ede37c8a3f1
graham mountains,united states,arizona,,82881491-c91e-484b-a120-9b36cf7cfae3
clearwater river,united states,idaho,,bd1cb4ab-c19f-4a5d-9293-6d0663abd724
boquette,panama,chiriqui,,99cde3bc-721c-45ce-9ee1-ce9f049ae33e
pacheco river,mexico,chihuahua,,e13cbb58-340c-4ca6-9bd7-dd401feb0304
encinal,united states,texas,,cae6e5ac-37df-47ef-8d30-987019d51077
dayville,united states,oregon,,be3c84c4-5a14-4596-8858-ca54cafab434
elk city,united states,idaho,,42a85927-10c5-4da9-a148-d4a49a95e86d
black range,united states,new mexico,,9f399747-8fbf-40f8-be0f-a233b70c93a3
,united states,oregon,,8e137161-39df-4b7f-bb5a-4c19e8763ab6
bitter root national forest,united states,idaho,,97f2d901-cb72-4102-8e90-f7c54b2c1fd7
"pinos altos, 25 mi w",united states,new mexico,,665668d2-cca1-4d37-886c-0d18bdceaee9
"thousand lake, w side",united states,utah,,c3e73371-5ebd-4834-8b9c-b56c3bb1c943
"wagner, near",united states,arizona,,af1f6303-0076-4039-84b0-15411fcea808
"dayville, murderer creek",united states,oregon,,3176da5c-1cbc-4b5b-b893-d0806920f812
,united states,oregon,curry county,2193f87b-f843-4913-860f-a992bff9ea8f
unspecified,,,,31bda648-91e1-4197-8852-fbdb05d4415a
"grants pass, 15 mi s",united states,oregon,,67eccf74-054f-4841-b3d4-b649cdd22a81
clifton,united states,arizona,,f925d528-ab2c-4b15-bfe4-1d110ce46098
wenatchee; along hwy 97a; 11 mi n,united states,washington,chelan county,ee871d88-d85f-466e-be33-507dfd4ed320
black range,united states,new mexico,,b8c4e312-88a4-44ec-8698-693e35e05efe
healy creek,canada,alberta,census division 15,0c61111f-02b3-4810-85f8-4d6a8a33b30a
portal,united states,arizona,,95ef1d9b-75cb-48fd-b97e-c54d9aa46586
[not recorded].,canada,ontario,,c1f3cb2f-aeec-47b7-b393-f7ac2f595e14
santa cecilia,ecuador,,,dabd682e-120d-4d5d-83b0-303a6bb92793
20 mi e big bend national park on rio grande,united states,texas,brewster,6678ede5-0763-4c75-813e-93f18c136a79
,united states,hawaii,hawaii,7043a89a-ac76-4021-9870-67ec5a677feb
enumclaw,united states,washington,king,6b3bd6fc-e21e-4c99-8d1e-1f2b8b66f111
temuco,chile,,,71c3d9ab-a253-4bab-ab70-adcdd5a964bd
near tuscon,united states,arizona,,387cbc00-b1bb-4477-8633-50163d2dccd2
"45 mi n dryden, pecos river",united states,texas,pecos,4264c67c-345f-455a-b44c-82e10e29368e
santa maria; tepusquet canyon,united states,california,santa barbara,2cda3033-ccd8-4fe1-ad9f-ec9e736620d5
olympic peninsula,united states,washington,,1e8bae56-af91-42da-9e47-7a2f3ce29dfe
5 mi w alpine,united states,texas,brewster,0d763420-fbe7-49eb-a561-f2313bd44683
"45 mi n dryden, pecos river",united states,texas,pecos,0f014c2b-deba-4f74-bf01-9e4bebd6e010
duchesne,united states,utah,duchesne,1061f394-c1e1-4f67-a036-9de994e2c17f
20 mi s valentine,united states,texas,presidio,a4857d2a-10d5-4c3a-adde-3d4975e77e66
"unit 37, pole creek",united states,idaho,,5a54881e-5a05-4dc3-bb50-3d72568eed7d
unit 30,united states,idaho,,657d3fd5-0ad0-4257-87d3-73b80d3b58ac
specific locality not recorded.,united states,new mexico,,6a78ac33-a90b-47c0-b4c1-9845259fd119
"unit 40, ne owhee",united states,idaho,,470c660d-6133-4895-b8bd-cd56485f780c
"unit 30a, peloncillo mtn",united states,arizona,,492d0714-83a9-4c4b-864a-49322df93314
"unit 1, pirest lake tangle cr, watson mtn",united states,idaho,,4a4a372e-3465-4981-90fa-24de4ffb456b
"unit 28, pine creek",united states,idaho,,523d215c-63bf-46bd-94f7-8717c6374468
"unit 30a, peloncillo mtd",united states,idaho,,53dd040e-a0dc-48c4-a0f8-2622364bcfc8
specific locality not recorded.,united states,new mexico,,0b55d4d2-7b9e-461e-9965-3b5da25a94fd
"unit 10a, little n fork clearwater",united states,idaho,,165209b1-1929-45ff-bdfd-2ed4a94fa02f
"unit 37, dennett creek",united states,idaho,,1943f221-19d4-43d0-88a6-17e18db71add
unit 14m skookumchuck creek,united states,idaho,,19b484c4-6dbe-4261-bd19-3cacac0e9378
"unit 5-1, signal point",united states,idaho,,34f15de9-8691-4525-b064-9fb3abae91f8
farm workers village,united states,florida,collier,2f2920c9-a639-4763-ad82-cac803f6f5af
"brownlee summit, unit 22",united states,idaho,,01aba6fa-4f4d-4a6a-b2cc-ef001f96dd18
raft river,united states,utah,,02bb9181-7fdf-4b2f-882f-f3f0ea719d41
"unit 25, reed ranch",united states,idaho,,91e05d84-4d71-4667-8dc9-86747fc9eea1
east hills,united states,idaho,,93012582-9456-4a56-852c-03b6a83a0e5c
"unit 23, groose cr drainage/ last cnace road",united states,idaho,,970a9671-7b28-4564-a1fd-c1af921dbfeb
"unit 5-2, mutch creek",united states,idaho,,991cc3d0-82ce-4baa-86a4-235a5fea294f
"unit 23, salmon creek",united states,idaho,,9c8a2e3c-be9e-4e7e-ac39-72e36dea7500
"unit 70, walker creek",united states,idaho,,adb96e83-b7f9-4d16-b396-4458a24b5d97
"unit 8, gold hill",united states,idaho,,afb9c80f-83b6-483f-8ed6-7b63834b3de7
"unit 108, ruby mts, xj ranch",united states,nevada,,b5867c2e-cd43-4d42-8d08-aa9e954ad6b2
"unit 54, dry creek",united states,idaho,,d24760fb-6e3d-465b-bb36-6c5cda14032c
"soda ponit, nf red river, unit 15",united states,idaho,,d726e664-1efd-42fd-a267-5e5b775f650a
"unit 56, south hagler",united states,idaho,,d89fdfcf-a76a-49ed-864a-e8d320578c95
"unit 62, winters creek",united states,nevada,,84e87309-a894-447b-b877-10dc8ec91137
"unit 73, near downey",united states,idaho,,8584c378-f888-4d63-8c65-689dc12536b3
"unit 67, little elk",united states,idaho,,8829ed4a-6946-40cf-99f9-0a982cdad305
"unit 6-1, hello gulch",united states,idaho,,bad03ceb-7131-445a-b2a6-a8265be83008
"unit 40, silver city",united states,idaho,,c4f4350b-b032-402f-8cfa-47c3a68ead7c
unit 8 little boulder creek,united states,idaho,,e06cf918-bf83-490b-8e10-62d238492645
"unit 43, feather river",united states,idaho,,e66949e2-cccc-488a-99e9-ac9260ad6b1e
"unit 40, soldier creek",united states,idaho,,ea0052fa-3a50-4845-b5a9-23cbbf25d9e8
"unit 31, reeds grove creek",united states,idaho,,eaa7295d-767f-4216-9184-32dcb35565af
"unit 70, sand canyon",united states,idaho,,f67422ee-157b-4c04-b8fd-dbe8564095fb
"unit 73, near downey",united states,idaho,,6d5cae49-6fac-49e7-a5a8-5f0d2296d8b0
"unit 6-6, christmas hills",united states,idaho,,779d967f-3878-432b-bb68-347c478fcd2a
"unit 36, challis",united states,idaho,,7883c8ba-f70d-4b59-90e9-f4d1bfb28550
"unit 67, wolverine creek",united states,idaho,,7aaac359-a1bf-443f-84eb-01f91e8976ae
"sierra nahuelbuta, ""fundo maitenuhue""",chile,la araucania,malleco,7fc18cf0-aa13-4f58-b653-092736731ecb
"serra da lua, near boa vista",brazil,roraima,,1c208998-e403-4f92-be21-ea1ed0bf5381
flat creek,canada,alberta,highwood river district,29ad13bd-5145-4ba3-a8d3-ba25dc8edb69
"milford, wilbur cross parkway.",united states,connecticut,,24c62b1c-03e0-4ae7-92e4-49b66dea6522
zaca lake,united states,california,santa barbara,59d731d9-287d-4b9c-b350-67ff64b85a83
hwy 101; 100 yds n entrance to gaviota state park,united states,california,santa barbara,3cac69b9-8908-4f57-b480-015e06ec9994
[not recorded].,united states,idaho,,322552f9-a2f5-4106-9da9-5ea2aa95d726
near covelo,united states,california,mendocino,0d494ab3-9b8f-42a4-96c0-7af4bf6ea46f
ferndale,united states,california,humboldt,71dafda5-dba3-4bd7-a621-33ae3e9f14c1
fortuna,united states,california,humboldt,6fd98fc2-e5bb-4b98-aa8c-6fbeaddd815c
fisheating creek,united states,florida,glades,67099a95-7490-4ab4-abae-40716efa8534
"jacksonville zoo, captive animal",united states,florida,collier,5b4c0698-6d51-4b7b-afde-4031c3d40e50
"sr 29, 600 ft s of cr 858, east side of the road on white line",united states,florida,collier,797ced32-5bfc-4769-b0df-ff788e300776
santa barbara; w camino cielo and refugio pass,united states,california,santa barbara,ec58b1bb-65ab-4a24-be2b-7c5d79d08059
tuni chucua,bolivia,beni,,fd0f473f-a549-4c3e-a3b0-b9590bfdec2e
meeker,united states,colorado,,c92dc733-f4ae-4d8a-b3ba-a808114f7656
marshfield,united states,oregon,,e0130c1c-a955-40e3-86a3-d8b4245b1c20
"rio guaimaral, rio guaimarai",colombia,cesar,valledupar district,d54bb8c2-658f-4730-ad25-7233e1b1b83a
kaibab national forest,united states,arizona,,8161e600-3a0f-485b-ba09-e74e85a3f707
"milk ranch point, mogollon rim, 12 mi ne of pine",united states,arizona,,29a10c05-dfea-4183-a2d2-ad884c71d51f
"grants pass, 43 mi ne",united states,oregon,,70160920-932c-43b8-addf-b8e53c04aae5
,,,,52bbb4e1-802f-4380-b04e-4dd4e5bde5e3
micky burn,united states,oregon,,d1597b18-e438-4cf9-81e7-fbb1dbf8d761
"grants pass, 43 mi ne",united states,oregon,,d9917639-7682-4ad5-9d88-1e764f477229
"hamilton, 18 mi se, shakaho camp",united states,montana,,99ac9d7e-993f-4703-b9ed-837df7a8af0e
mount vernon,united states,washington,,42c67495-2435-4dae-9a18-da051704d07b
"west ranch, 20 mi s of catarina",united states,texas,,d967cf20-1d1c-4245-8baf-636afbf25a6b
,united states,oregon,curry county,33c1fa6d-0d44-4dc2-b215-a0ce9b25f44a
reserve,united states,new mexico,,27892db7-b699-4e88-bfb7-f7722a3a8550
"windermere, se, e of invermere",canada,british columbia,,56346c66-260b-452f-b655-e15eca520cde
brannon park,united states,new mexico,,dc2919a9-b574-4423-8077-39d5e8da8bf1
reserve,united states,new mexico,,277231af-fd4a-4488-9132-0c4a83059654
"pacora, la jaqua",panama,panama,,a41efd63-068e-44c0-841d-d609c715bb8d
sierra national forest,united states,california,,aa127a82-dafc-4a01-b349-34db24b597ac
"vancouver island, campbell river valley",canada,british columbia,,14131f7f-e9be-47ba-9e07-8ec9378d0917
"animas mountains, near",united states,new mexico,,f30bb702-0e88-4771-ae7c-6f9d9b8f9029
pistol river,united states,oregon,,1606d378-eb02-4688-9f53-782f545fa415
"selma, 10 mi se",united states,oregon,,7512b3bf-0a92-48e2-b746-a0eb91e462e2
burro creek,united states,arizona,,fc72021d-0a26-4aff-b128-3709ce2dbea8
"prescott, 55 mi se",united states,arizona,,cde5f692-a19f-4093-9e66-1e49b1510978
galiuro mountains,united states,arizona,,77f3f4a1-dd9a-49ea-ba1b-051893a0de6a
yellowstone national park,united states,wyoming,,836b6e42-15b0-444d-8e4c-ff23cd7d9cd0
queen,united states,new mexico,,443f7735-a0ae-4acd-a868-0dbbcf75e5cb
"keystone, hot creek",united states,nevada,,9b05648a-619d-4e51-946d-afce46160e60
"santa clara creek, jemez mountains, head of",united states,new mexico,,37cbcaff-6f89-46a7-ac3c-16d2dae4eb28
spruce mountain,united states,nevada,,4e67dc41-bf7d-4b77-8a3a-b7f627f2b0ba
graham mountains,united states,arizona,,dfed8608-2091-4f8f-b36c-1151268e02a3
"vancouver island, campbell lake",canada,british columbia,,b1aed825-c091-45c6-9a01-eebc256127d5
clifton,united states,arizona,,82360818-6e86-4c8b-98c9-391a4268ce6c
glendale,united states,oregon,,080087ca-c0d0-4e12-a4d4-fc31dd9412f9
,united states,texas,mcmullen county,8337714d-1756-4fa5-8afe-b5bd9f7af4ce
davis mountains,united states,texas,,8f0edc8e-ec7f-4d1b-8c4a-774fc246f6c9
"dadanawa, 40 mi nne",guyana,upper takutu-upper essequibo,,74efdd5b-0215-4229-8b55-3f684e17db3b
"chupadaro ranch, 20 mi s of carrizo springs",united states,texas,,7460d397-4bb6-4184-be4d-65d4b7197b6b
sunnyside,united states,nevada,,c8e72416-0443-4527-beaf-bc8f7a254715
coronado national forest,united states,new mexico,,89893370-5758-42aa-941a-f4fe0e0f97df
bridge camp; on s side of white river; 1 mi w; t19n r8e,united states,washington,pierce county,f4dffc93-b87b-4d72-befb-f229a3c15c8f
trans chaco,paraguay,boquerón,,ce0534c1-6ad4-4990-b8c1-b499bf7df36e
"boise national forest, sheep creek",united states,idaho,,b473666e-1dd8-4f65-ba23-8a6d7f6e1f51
"mountain air, harris ranch",united states,new mexico,,dec567f9-de13-4e5b-a55b-b24b42ccbfef
"vancouver island, quinsome valley",canada,british columbia,,6e56e3f5-c650-4b4d-a41f-d3e6d1e53033
burro creek,united states,arizona,,431bbfd0-7d4e-4d97-a6c2-3856b6142d79
"alma, 15 mi n",united states,new mexico,,3f16007c-e43a-47fd-ae42-2fdb454203e4
coolin,united states,idaho,,85b28fe8-f796-4720-875e-6e64f860f260
"rainier national park, near, cowlitz game preserve, ohanapecosh river",united states,washington,,ac2fa81f-5597-44e0-a048-b33e3d0c8f05
"glacier park, adair ranch",united states,montana,,2add4dea-49d9-4b3e-a5e9-c88cf82d9e96
pistol river,united states,oregon,,d282a9fd-1bbe-4e2d-b62f-cd9c520e32a2
salmon river,united states,california,,6927d30c-df0f-4562-968f-221a16baaa59
"animas mountains, near",united states,new mexico,,75110877-f1d1-4ad6-8b92-cdd63bfc30ab
"santa catalina mountains, nr. tuscon",united states,arizona,,f0355c42-2f71-4683-82a0-6e1d5de40e60
potts,united states,nevada,,a1877c5f-ca90-4b64-b10f-e9e32088ecf8
"strawberry canyon, near pine",united states,arizona,,52faba6b-3d4f-423c-bc6c-f58ba45f4cb4
lompoc; hills s of miguelito canyon,united states,california,santa barbara,92aea2a2-67d4-4d2e-87f5-edf4a92f38d9
clallam bay,united states,washington,clallam,abfb547e-3906-4449-9319-d22ef1c92144
buttle lake,canada,british columbia,,3f01b8d1-548d-4b52-b748-b9da9e47de38
buttle lake,canada,british columbia,,3f824013-d5dd-49e8-83f6-134fad89963e
15 miles nw of xtocomo,mexico,quintana roo territory,,07c13114-495c-47ef-a2c6-c5f4cbec31c4
15 mi s alpine,united states,texas,brewster,dd8712f5-03e0-4cda-9d10-10b10f1460b6
20 mi s valentine,united states,texas,presidio,de637014-03f6-46e4-b6d3-5a781ae03335
"unit 18, grays creek",united states,idaho,,03197478-b969-413d-bd4b-5c00feb6d995
"unit 45, bennet mtn",united states,idaho,,d46b6492-0c8c-4b7c-b1b6-7e07120b5c09
"unit 27/28, camas creek",united states,idaho,,d571ceac-9d64-416a-bd83-570e41b667c6
"unit 6-5, marble creek",united states,idaho,,d872fbb4-ed44-4f5b-93fd-a28774af0a86
"unit 10a, orofino creek",united states,idaho,,d9e6d5c5-0a2a-4108-8a30-e980deaaae7b
specific locality not recorded.,united states,new mexico,,e0a10596-692f-4904-b389-af746c2484ab
horse creek,united states,idaho,,e1fe71fa-2675-4f61-bfd1-544d29db17da
"unit 6-6, canyon creek",united states,idaho,,f1013d2d-6b6e-41fd-bcb4-962083dc865e
"unit 30, chiricahua",united states,arizona,,f365f4f7-f4f7-4a37-b120-6398f2538b5e
"unit 11, deer creek",united states,idaho,,a3332135-9725-4901-9f92-0430021a17fd
gmu 58,united states,new mexico,,88776a09-52f3-4176-8326-9c252d746359
black pine mts,united states,idaho,,8d14a541-3a40-44c1-84ff-f68bac577938
"unit 73a, n of water of canyon",united states,idaho,,92a5deef-054a-4f1b-bb27-d9541539be59
"unit 27, warm springs",united states,idaho,,92d29d48-e90f-42dd-8102-0dd4f5a7b4f3
"unit 23, ahrd creek",united states,idaho,,c31eba8c-24ca-43e3-a787-f5db4f9cb405
rio grande zoo?,united states,new mexico,,c50f25c5-4953-41ad-bc65-2798bf4c897e
"unit 30a, peloncillo mtn",united states,arizona,,c990036f-e417-4a70-8bc9-f17935ece1ee
"unit 10, isabella",united states,idaho,,5f9bc338-9244-4e6c-b61e-59db642c34ce
"unit 14, lightening creek",united states,idaho,,60c29e16-d47b-4911-8157-9eeb7214bb62
"raft river, one mile canyon",united states,idaho,,669ecde5-6fdd-4c61-b6c7-28cd046cdb73
unit 70/71,united states,idaho,,6a1fb051-23f0-4c80-a60e-946753a9fe4f
"unit 8a, browns creek",united states,idaho,,6a2895c3-8975-43f7-bfcb-e80b93000446
"unit 54, big cedar",united states,idaho,,70a16040-14df-4778-a6b0-180262e0aad7
"unit 27, marble creek",united states,idaho,,72708c81-f440-4f7e-8dee-0cec9e549297
unit 21,united states,idaho,,b0b559a7-ce71-4ef7-854a-1d0231fc6ca1
"unit 4, pine creek",united states,idaho,,b13a0f90-3d73-4473-96d8-35836984ffef
"unit 3-2, marie creek",united states,idaho,,760c6d02-59c4-4691-a40f-34a724efdda1
"unit 5-2, cherry creek",united states,idaho,,83f8d04c-0ade-4c80-a8f5-18d2d2c0c461
"unit 11, maloney creek",united states,idaho,,1cd0ef6f-0778-40cb-9b06-1f1518f1732d
